Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-04-07,63.64,88,63.16,76,60.66,61,51.85,27
2017-04-08,72.22,36,68.97,29,72.73,22,66.67,9
2017-04-09,64.00,25,66.67,24,63.16,19,66.67,9
2017-04-10,76.00,250,75.00,216,71.26,167,72.48,109
2017-04-11,71.96,189,71.84,174,70.21,141,73.63,91
2017-04-12,75.33,150,73.44,128,70.91,110,63.38,71
2017-04-13,68.45,168,65.47,139,60.19,108,48.33,60
2017-04-14,70.83,72,66.13,62,65.38,52,63.33,30
2017-04-15,63.27,49,65.85,41,62.50,32,66.67,15
2017-04-16,68.33,60,69.81,53,67.44,43,52.17,23
2017-04-17,70.68,2418,67.88,1974,58.69,1346,51.87,831
2017-04-18,70.97,1488,67.73,1221,61.26,857,57.28,515
2017-04-19,50.74,739,44.41,608,31.17,446,19.59,296
2017-04-20,62.15,325,60.79,278,53.85,221,47.10,138
2017-04-21,70.00,190,67.46,169,65.25,141,63.04,92
2017-04-22,68.42,38,69.70,33,68.18,22,50.00,4
2017-04-23,53.66,41,50.00,36,40.74,27,33.33,3
2017-04-24,72.97,148,72.87,129,69.79,96,67.27,55
2017-04-25,78.57,1129,77.49,942,74.34,686,77.18,425
2017-04-26,73.90,341,74.04,285,68.47,203,65.67,134
2017-04-27,79.01,543,78.48,488,77.62,420,80.83,339
2017-04-28,66.14,189,69.23,156,64.35,115,59.26,81
2017-04-29,73.33,30,72.41,29,60.00,20,80.00,5
2017-04-30,65.38,26,60.87,23,46.15,13,50.00,6
2017-05-01,71.43,469,70.05,394,66.22,299,60.13,158
2017-05-02,69.72,218,67.39,184,65.33,150,65.52,87
2017-05-03,70.30,165,70.27,148,66.67,117,65.71,70
2017-05-04,69.87,239,68.12,207,63.47,167,61.90,105
2017-05-05,77.89,199,78.31,166,75.41,122,78.67,75
2017-05-06,77.14,35,70.37,27,71.43,21,58.33,12
2017-05-07,70.45,44,67.57,37,68.97,29,42.86,7
2017-05-08,70.44,203,69.95,183,68.75,144,60.26,78
2017-05-09,77.41,239,77.40,208,75.69,181,75.40,126
2017-05-10,80.60,335,82.27,282,83.81,210,92.31,143
2017-05-11,78.06,155,77.94,136,71.58,95,69.39,49
2017-05-12,75.34,146,79.07,129,79.52,83,74.19,31
2017-05-13,68.97,29,78.26,23,83.33,18,85.71,7
2017-05-14,86.21,29,84.00,25,81.82,22,88.89,9
2017-05-15,75.53,94,76.83,82,76.92,65,86.36,22
2017-05-16,69.03,113,68.09,94,63.08,65,61.29,31
2017-05-17,51.96,179,50.66,152,40.52,116,33.96,53
2017-05-18,76.64,107,78.16,87,73.85,65,90.32,31
2017-05-19,76.71,73,79.63,54,79.55,44,100.00,20
2017-05-20,70.83,24,72.73,22,77.78,18,100.00,1
2017-05-21,85.71,28,87.50,24,84.21,19,100.00,2
2017-05-22,76.77,99,81.40,86,78.57,70,75.00,32
2017-05-23,79.31,116,78.79,99,79.49,78,75.68,37
2017-05-24,75.00,68,71.67,60,68.09,47,77.27,22
2017-05-25,77.14,398,77.42,341,74.91,267,83.67,147
2017-05-26,76.05,167,75.84,149,73.87,111,73.85,65
2017-05-27,75.86,29,73.91,23,72.22,18,75.00,8
2017-05-28,100.00,17,100.00,14,100.00,12,100.00,1
2017-05-29,75.86,29,79.17,24,84.21,19,60.00,5
2017-05-30,76.57,175,77.18,149,73.58,106,82.35,51
2017-05-31,74.47,188,75.91,137,73.47,98,81.25,48
2017-06-01,71.33,150,73.39,124,71.58,95,80.39,51
2017-06-02,80.31,193,81.71,164,82.68,127,83.54,79
2017-06-03,68.75,32,65.38,26,73.68,19,62.50,8
2017-06-04,100.00,28,100.00,27,100.00,21,100.00,8
2017-06-05,71.72,99,75.61,82,76.56,64,83.33,18
2017-06-06,80.13,151,81.82,121,80.68,88,90.62,32
2017-06-07,78.22,101,78.31,83,75.81,62,75.00,20
2017-06-08,63.11,122,60.82,97,59.04,83,42.22,45
2017-06-09,49.55,337,49.44,269,44.98,209,37.35,83
2017-06-10,63.64,88,71.23,73,69.81,53,64.00,25
2017-06-11,76.79,56,73.47,49,70.00,40,45.45,11
2017-06-12,64.63,328,64.07,270,59.28,194,47.56,82
2017-06-13,70.22,225,69.49,177,62.02,129,65.52,58
2017-06-14,68.48,184,67.59,145,64.71,102,55.10,49
2017-06-15,63.36,292,64.23,246,58.06,186,40.00,80
2017-06-16,68.79,173,67.61,142,64.65,99,63.64,44
2017-06-17,82.76,29,80.95,21,80.00,15,33.33,3
2017-06-18,85.00,40,83.87,31,80.00,25,20.00,5
2017-06-19,75.71,140,77.05,122,75.26,97,56.10,41
2017-06-20,60.42,96,59.74,77,57.14,63,47.62,21
2017-06-21,70.43,186,71.14,149,63.54,96,50.00,48
2017-06-22,75.00,152,72.00,125,70.21,94,70.00,50
2017-06-23,81.15,313,81.95,277,82.00,200,82.18,101
2017-06-24,74.29,35,78.57,28,88.89,18,75.00,8
2017-06-25,73.33,30,73.08,26,75.00,24,87.50,8
2017-06-26,72.04,186,76.92,143,76.19,105,75.00,48
2017-06-27,53.99,213,52.25,178,42.34,137,23.81,63
2017-06-28,68.89,180,67.97,153,63.25,117,52.63,57
2017-06-29,66.82,214,68.48,184,64.39,132,56.72,67
2017-06-30,70.15,134,72.27,119,73.20,97,71.74,46
2017-07-01,85.19,27,84.62,26,83.33,18,50.00,2
2017-07-02,80.77,26,79.17,24,72.22,18,60.00,5
